# rule_id<TAB>ACTION<TAB>(optional description)
10010	IGNORE	(Cookie No HttpOnly Flag) 
10011	IGNORE	(Cookie Without Secure Flag)
10015	IGNORE	(Re-examine Cache-control Directives)
10019	IGNORE	(Content-Type Header Missing)
10027	IGNORE	(Information Disclosure - Suspicious Comments)
10054	IGNORE	(Cookie without SameSite Attribute)
10062	IGNORE	(PII Disclosure - sitemap.xml)
10094	IGNORE	(Base64 Disclosure in static assets)
90003	IGNORE	(Sub Resource Integrity Attribute Missing)
90004	IGNORE	(Insufficient Site Isolation Against Spectre Vulnerability)
90005	IGNORE	(Sec-Fetch-Dest Header Missing)
